week,region,mean_BT,min_BT,max_BT,week_start_date
29,North America,257.7049124581473,208.74502563476562,273.01580810546875,2025-07-16
29,South America,246.64374651227678,184.7810821533203,266.1568603515625,2025-07-16
29,Tropics,252.12909589494978,180.5048370361328,269.20526123046875,2025-07-16
29,Western Hemisphere,246.92591639927454,184.7810821533203,273.77789306640625,2025-07-16
30,North America,256.5036097935268,210.81964111328125,270.0943908691406,2025-07-23
30,South America,244.40849086216517,184.7810821533203,267.63873291015625,2025-07-23
30,Tropics,249.02291652134485,184.7810821533203,270.05206298828125,2025-07-23
30,Western Hemisphere,246.18235778808594,184.7810821533203,271.8302917480469,2025-07-23
31,North America,255.0365949358259,212.04747009277344,271.87261962890625,2025-07-30
31,South America,243.83443123953683,184.7810821533203,262.1769714355469,2025-07-30
31,Tropics,247.5111323765346,186.26295471191406,271.87261962890625,2025-07-30
31,Western Hemisphere,245.50794546944755,184.7810821533203,271.87261962890625,2025-07-30
32,North America,255.69600568498885,213.23297119140625,272.71942138671875,2025-08-06
32,South America,243.99089922223772,185.54318237304688,265.0560302734375,2025-08-06
32,Tropics,247.3742414202009,183.21453857421875,267.29998779296875,2025-08-06
32,Western Hemisphere,245.8168182373047,185.54318237304688,273.05810546875,2025-08-06
33,North America,256.71419198172435,211.07366943359375,270.941162109375,2025-08-13
33,South America,242.9688262939453,186.26295471191406,262.9390869140625,2025-08-13
33,Tropics,247.19400896344865,184.7810821533203,270.7294921875,2025-08-13
33,Western Hemisphere,245.98944091796875,186.26295471191406,271.91497802734375,2025-08-13
34,North America,258.72555106026783,207.34783935546875,270.81414794921875,2025-08-20
34,South America,243.9358411516462,184.7810821533203,265.43707275390625,2025-08-20
34,Tropics,247.6702662876674,182.32540893554688,268.8665771484375,2025-08-20
34,Western Hemisphere,246.57208469935827,183.21453857421875,272.42303466796875,2025-08-20
35,North America,257.4144853864397,210.56561279296875,272.16900634765625,2025-08-27
35,South America,243.59108407156808,186.26295471191406,261.9229431152344,2025-08-27
35,Tropics,249.2484414236886,183.21453857421875,270.8988342285156,2025-08-27
35,Western Hemisphere,246.40484837123327,186.26295471191406,274.07427978515625,2025-08-27
36,North America,256.4019579206194,209.54946899414062,269.71331787109375,2025-09-03
36,South America,243.14247567313058,184.01898193359375,263.7858581542969,2025-09-03
36,Tropics,246.5561763218471,181.43629455566406,268.95123291015625,2025-09-03
36,Western Hemisphere,246.34158325195312,184.01898193359375,270.0943908691406,2025-09-03
